date,pmb,text
1926-09-08,967,"Luzern"
1926-09-08,90811,"Gütsch"
1926-09-08,34401,"Altaussee"
1926-09-08,50,"Wien"
1926-09-08,91143,"Lido"
1925-10-09,45258,"München"
1925-10-09,85,"Loewelstr."
1900-03-30,682,"Ragusa"
1900-03-30,49149,"Cattaro"
1900-03-30,682,"Ragusa"
1910-05-29,52051,"Territet"
1910-05-29,50004,"Lausanne"
1910-05-29,90607,"Evian"
1910-05-29,182,"Paris"
1910-05-29,90388,"Bouveret"
1910-05-29,52051,"Territet"
1913-12-05,58,"Josefstadt"
1901-02-07,92374,"Liebhartsthal"
1927-08-17,40260,"Bozen"
1927-08-17,50822,"Klobenstein (Collalbo)"
1927-08-17,92474,"Rappersbichl"
1925-10-21,50,"Wien"
1896-06-17,34401,"Altaussee"
1897-07-20,213,"Ischl"
1897-07-20,39671,"Hallstatt"
1897-07-20,43471,"Pest"
1910-02-20,90771,"Grinzing"
1911-03-03,14,"Burgtheater"
1908-06-18,651,"Kärnthen"
1908-06-18,423,"Tirol"
1909-09-02,50,"Wien"
1897-09-19,91217,"M."
1897-09-19,968,"Mödling"
1926-07-19,173,"Rodaun"
1926-07-19,90889,"Hochrotherd"
1926-07-19,44102,"Kaltenleutgeben"
1926-07-19,91784,"Speising"
1927-08-03,462,"Venedig"
1927-08-03,427,"Campiglio"
1927-08-03,,"Altausseerplan"
1900-03-24,92266,"H.g."
1918-09-25,20,"Volksth."
1918-07-08,274,"Burgring"
1918-07-08,,"Burgringwohnung"
1918-07-08,92480,"Reithlegasse"
1919-08-12,45258,"München"
1919-08-12,146,"Frankfurt"
1919-08-12,506,"Hamburg"
1919-08-12,90885,"Hirschwang"
1913-12-11,58,"Josefstadt"
1901-02-13,69,"Döbling"
1914-06-28,92533,"Sophienalpe"
1914-06-28,91677,"Scheiblingstein"
1914-06-28,44394,"Weidlingbach"
1914-06-28,69,"Sievring"
1914-06-28,14,"Burgtheater"
1914-06-28,65671,"Sarajevo"
1917-11-04,169,"Pötzleinsdorf"
1914-08-05,90593,"Englands"
1914-08-05,151,"Deutschland"
1914-08-05,44374,"St. Moritz"
1905-01-06,90771,"Grinzing"
1905-01-06,159,"Heiligenstadt"
1920-12-17,20,"Volksth."
1893-03-28,70,"Brigittenau"
1929-11-15,20,"Volksth."
1928-10-22,50,"Wien"
1928-10-22,43406,"Amerika"
1893-04-21,883,"Wiesbaden"
1893-04-21,50,"Wien"
1893-04-21,40655,"St. G."
1922-03-05,69,"Sievring"
1922-03-05,169,"Pötzleinsdorf"
1907-10-14,,"altitalien."
1904-09-15,186,"Lueg"
1905-08-22,,"Pötzleinsdorfer"
1892-05-02,40,"Josefst.-Th."
1892-05-02,19,"Ronacher"
1922-03-11,151,"Deutschland"
1922-03-11,,"Reichenauer"
